2023-05-25-14-33: epoch: 12 |tot 7.724137 | hm 1.082267 | wh 1.576550 | reg 0.220393 | dep 1.678317 | dep_sec 1.623712 | dim 0.244480 | rot 0.733674 | rot_sec 0.709255 | amodel_offset 0.815295 | nuscenes_att 0.189982 | velocity 0.269107 | time 102.783333 | tot 7.711475 | hm 1.109621 | wh 1.776130 | reg 0.227388 | dep 1.477483 | dep_sec 1.493947 | dim 0.198503 | rot 0.884887 | rot_sec 0.858106 | amodel_offset 0.886504 | nuscenes_att 0.192562 | velocity 0.204861 | time 1.966667 | 
2023-05-25-16-19: epoch: 13 |tot 7.685173 | hm 1.080768 | wh 1.571573 | reg 0.220533 | dep 1.673927 | dep_sec 1.615655 | dim 0.243887 | rot 0.724965 | rot_sec 0.699770 | amodel_offset 0.814090 | nuscenes_att 0.187320 | velocity 0.267100 | time 102.866667 | tot 7.712176 | hm 1.124352 | wh 1.803707 | reg 0.227091 | dep 1.438864 | dep_sec 1.499879 | dim 0.199071 | rot 0.896487 | rot_sec 0.851251 | amodel_offset 0.905698 | nuscenes_att 0.189709 | velocity 0.199404 | time 1.983333 | 
2023-05-25-18-04: epoch: 14 |tot 7.633599 | hm 1.080700 | wh 1.572896 | reg 0.220537 | dep 1.665419 | dep_sec 1.597820 | dim 0.243767 | rot 0.715898 | rot_sec 0.690412 | amodel_offset 0.810466 | nuscenes_att 0.185881 | velocity 0.265409 | time 102.666667 | tot 7.766912 | hm 1.094272 | wh 1.783815 | reg 0.226351 | dep 1.489478 | dep_sec 1.515469 | dim 0.199802 | rot 0.899759 | rot_sec 0.874576 | amodel_offset 0.889352 | nuscenes_att 0.192955 | velocity 0.206516 | time 1.966667 | 
2023-05-25-19-49: epoch: 15 |tot 7.585776 | hm 1.077720 | wh 1.566626 | reg 0.220318 | dep 1.655283 | dep_sec 1.590750 | dim 0.243448 | rot 0.706308 | rot_sec 0.679479 | amodel_offset 0.807859 | nuscenes_att 0.183667 | velocity 0.264280 | time 102.683333 | tot 7.855122 | hm 1.126527 | wh 1.815730 | reg 0.226069 | dep 1.492845 | dep_sec 1.550349 | dim 0.204022 | rot 0.897885 | rot_sec 0.888786 | amodel_offset 0.893792 | nuscenes_att 0.189059 | velocity 0.204215 | time 2.000000 | 
2023-05-25-21-34: epoch: 16 |tot 7.551170 | hm 1.076224 | wh 1.561970 | reg 0.220377 | dep 1.651844 | dep_sec 1.580338 | dim 0.242634 | rot 0.698718 | rot_sec 0.672713 | amodel_offset 0.806945 | nuscenes_att 0.182118 | velocity 0.263062 | time 102.766667 | tot 7.749233 | hm 1.130492 | wh 1.829373 | reg 0.226510 | dep 1.450630 | dep_sec 1.499762 | dim 0.201755 | rot 0.882814 | rot_sec 0.857400 | amodel_offset 0.926318 | nuscenes_att 0.192134 | velocity 0.198481 | time 1.966667 | 
2023-05-25-23-19: epoch: 17 |tot 7.508363 | hm 1.075043 | wh 1.564972 | reg 0.220365 | dep 1.642959 | dep_sec 1.568352 | dim 0.242728 | rot 0.690513 | rot_sec 0.663924 | amodel_offset 0.806820 | nuscenes_att 0.179977 | velocity 0.261185 | time 102.733333 | tot 7.963826 | hm 1.109249 | wh 1.887157 | reg 0.227256 | dep 1.531773 | dep_sec 1.549730 | dim 0.213265 | rot 0.907309 | rot_sec 0.894729 | amodel_offset 0.933637 | nuscenes_att 0.198796 | velocity 0.209368 | time 1.983333 | 
2023-05-26-01-04: epoch: 18 |tot 7.440440 | hm 1.072151 | wh 1.552939 | reg 0.220196 | dep 1.628107 | dep_sec 1.554961 | dim 0.241469 | rot 0.680670 | rot_sec 0.653099 | amodel_offset 0.796242 | nuscenes_att 0.178318 | velocity 0.259934 | time 102.633333 | tot 7.932833 | hm 1.108405 | wh 1.828348 | reg 0.226804 | dep 1.463370 | dep_sec 1.612479 | dim 0.200765 | rot 0.920536 | rot_sec 0.912893 | amodel_offset 0.899403 | nuscenes_att 0.199139 | velocity 0.206205 | time 1.983333 | 
2023-05-26-02-50: epoch: 19 |tot 7.400907 | hm 1.069370 | wh 1.550766 | reg 0.220318 | dep 1.620172 | dep_sec 1.543433 | dim 0.241075 | rot 0.672656 | rot_sec 0.645141 | amodel_offset 0.798079 | nuscenes_att 0.177405 | velocity 0.258181 | time 102.366667 | tot 7.969221 | hm 1.146151 | wh 1.941744 | reg 0.228749 | dep 1.489443 | dep_sec 1.510905 | dim 0.203834 | rot 0.907757 | rot_sec 0.881420 | amodel_offset 0.991045 | nuscenes_att 0.206535 | velocity 0.209209 | time 1.983333 | 
2023-05-26-04-35: epoch: 20 |tot 7.376494 | hm 1.069473 | wh 1.550228 | reg 0.220242 | dep 1.613886 | dep_sec 1.537568 | dim 0.240875 | rot 0.667806 | rot_sec 0.640110 | amodel_offset 0.798819 | nuscenes_att 0.175480 | velocity 0.257213 | time 102.766667 | tot 7.634754 | hm 1.102057 | wh 1.851035 | reg 0.226444 | dep 1.443515 | dep_sec 1.467976 | dim 0.193542 | rot 0.872837 | rot_sec 0.848390 | amodel_offset 0.906455 | nuscenes_att 0.185490 | velocity 0.202945 | time 1.983333 | 
2023-05-26-06-20: epoch: 21 |tot 7.329268 | hm 1.067857 | wh 1.545639 | reg 0.220115 | dep 1.605025 | dep_sec 1.523231 | dim 0.240393 | rot 0.659909 | rot_sec 0.631731 | amodel_offset 0.795956 | nuscenes_att 0.174122 | velocity 0.256364 | time 102.333333 | tot 7.843804 | hm 1.115233 | wh 1.862003 | reg 0.226861 | dep 1.510343 | dep_sec 1.557542 | dim 0.199600 | rot 0.879959 | rot_sec 0.848909 | amodel_offset 0.918610 | nuscenes_att 0.203303 | velocity 0.197244 | time 1.983333 | 
2023-05-26-08-05: epoch: 22 |tot 7.313690 | hm 1.067707 | wh 1.542718 | reg 0.220190 | dep 1.601265 | dep_sec 1.523159 | dim 0.240274 | rot 0.655954 | rot_sec 0.627836 | amodel_offset 0.796595 | nuscenes_att 0.172197 | velocity 0.254243 | time 102.666667 | tot 7.798492 | hm 1.100981 | wh 1.854423 | reg 0.227156 | dep 1.505572 | dep_sec 1.590987 | dim 0.197797 | rot 0.870345 | rot_sec 0.852150 | amodel_offset 0.875989 | nuscenes_att 0.190812 | velocity 0.201261 | time 1.966667 | 
2023-05-26-09-50: epoch: 23 |tot 7.249561 | hm 1.064398 | wh 1.539248 | reg 0.219922 | dep 1.586235 | dep_sec 1.503837 | dim 0.239737 | rot 0.645969 | rot_sec 0.617160 | amodel_offset 0.794592 | nuscenes_att 0.170278 | velocity 0.253508 | time 102.866667 | tot 7.545797 | hm 1.116671 | wh 1.804223 | reg 0.225636 | dep 1.391794 | dep_sec 1.422590 | dim 0.192497 | rot 0.881273 | rot_sec 0.860441 | amodel_offset 0.880734 | nuscenes_att 0.194384 | velocity 0.199354 | time 1.966667 | 
2023-05-26-11-35: epoch: 24 |tot 7.237805 | hm 1.064164 | wh 1.542945 | reg 0.219825 | dep 1.588622 | dep_sec 1.500422 | dim 0.239591 | rot 0.641492 | rot_sec 0.612784 | amodel_offset 0.794285 | nuscenes_att 0.169438 | velocity 0.252885 | time 102.800000 | tot 7.718956 | hm 1.114207 | wh 1.815845 | reg 0.227122 | dep 1.475886 | dep_sec 1.474908 | dim 0.196228 | rot 0.900806 | rot_sec 0.865203 | amodel_offset 0.878584 | nuscenes_att 0.202875 | velocity 0.201553 | time 1.966667 | 
2023-05-26-13-21: epoch: 25 |tot 7.204251 | hm 1.064349 | wh 1.536586 | reg 0.220044 | dep 1.579271 | dep_sec 1.490670 | dim 0.238928 | rot 0.636561 | rot_sec 0.607410 | amodel_offset 0.793614 | nuscenes_att 0.167718 | velocity 0.252027 | time 102.833333 | tot 7.977273 | hm 1.119279 | wh 1.839486 | reg 0.226840 | dep 1.493749 | dep_sec 1.681659 | dim 0.203145 | rot 0.909620 | rot_sec 0.881071 | amodel_offset 0.876740 | nuscenes_att 0.199846 | velocity 0.201375 | time 1.966667 | 
2023-05-26-15-06: epoch: 26 |tot 7.155703 | hm 1.060672 | wh 1.528289 | reg 0.219821 | dep 1.568191 | dep_sec 1.478992 | dim 0.238199 | rot 0.630309 | rot_sec 0.601361 | amodel_offset 0.787344 | nuscenes_att 0.166935 | velocity 0.251050 | time 102.983333 | tot 7.615939 | hm 1.125480 | wh 1.810546 | reg 0.226740 | dep 1.404361 | dep_sec 1.427827 | dim 0.196950 | rot 0.910427 | rot_sec 0.877616 | amodel_offset 0.882083 | nuscenes_att 0.185228 | velocity 0.198171 | time 1.983333 | 
